"id","name","symbol","slug","num_market_pairs","date_added","tags","max_supply","circulating_supply","total_supply","platform","cmc_rank","last_updated","quote"
2199,"ALQO","XLQ","alqo",1,"2017-11-19T00:00:00.000Z","[""masternodes""]",,64664324.2904088,65539763.62146,,867,"2020-09-26T03:51:08.000Z","{""USD"":{""price"":0.0371046328702,""volume_24h"":261.18306419596,""percent_change_1h"":0.0170217,""percent_change_24h"":-1.50833,""percent_change_7d"":-36.0285,""market_cap"":2399346.012595175,""last_updated"":""2020-09-26T03:51:08.000Z""}}"
4850,"LINKA","LINKA","linka",3,"2019-11-01T00:00:00.000Z","[]",,694150020,2000000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x578b49c45961f98d8df92854b53f1641af0a5036""}",868,"2020-09-26T03:51:23.000Z","{""USD"":{""price"":0.00343049599997,""volume_24h"":33319.9525140921,""percent_change_1h"":0.0203766,""percent_change_24h"":0.118809,""percent_change_7d"":-7.96182,""market_cap"":2381278.8669890957,""last_updated"":""2020-09-26T03:51:23.000Z""}}"
1771,"DAOBet","BET","daobet",4,"2017-07-02T00:00:00.000Z","[""gambling""]",,167270820.687909,167270820.687909,,869,"2020-09-26T03:51:07.000Z","{""USD"":{""price"":0.0141547771377,""volume_24h"":54793.0306656265,""percent_change_1h"":-0.607344,""percent_change_24h"":-4.41029,""percent_change_7d"":-26.6527,""market_cap"":2367681.1884775306,""last_updated"":""2020-09-26T03:51:07.000Z""}}"
4074,"ScPrime","SCP","scprime",4,"2020-02-13T00:00:00.000Z","[""mineable"",""blake2b"",""platform"",""distributed-computing"",""filesharing""]",,27591317,35103200,,870,"2020-09-26T03:51:19.000Z","{""USD"":{""price"":0.0854931915539,""volume_24h"":35357.9085449134,""percent_change_1h"":0.0128089,""percent_change_24h"":-2.137,""percent_change_7d"":12.8842,""market_cap"":2358869.749505378,""last_updated"":""2020-09-26T03:51:19.000Z""}}"
3838,"Esportbits","HLT","esportbits",1,"2019-04-03T00:00:00.000Z","[]",,23013360.2952323,303843731.927957,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0xa809d363a66c576a2a814cdbfefc107c600a55f0""}",871,"2020-09-26T03:51:19.000Z","{""USD"":{""price"":0.102291394648,""volume_24h"":17680.4538164841,""percent_change_1h"":1.38742,""percent_change_24h"":1.82278,""percent_change_7d"":1.30186,""market_cap"":2354068.720136221,""last_updated"":""2020-09-26T03:51:19.000Z""}}"
6194,"Geeq","GEEQ","geeq",8,"2020-08-04T00:00:00.000Z","[]",100000000,3066665,100000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x6b9f031d718dded0d681c20cb754f97b3bb81b78""}",872,"2020-09-26T03:51:28.000Z","{""USD"":{""price"":0.762663066014,""volume_24h"":193355.84436804,""percent_change_1h"":0.36869,""percent_change_24h"":17.5387,""percent_change_7d"":-31.0115,""market_cap"":2338832.1313378233,""last_updated"":""2020-09-26T03:51:28.000Z""}}"
2737,"Global Social Chain","GSC","global-social-chain",5,"2018-05-15T00:00:00.000Z","[]",,565406602.60256,1000000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x228ba514309ffdf03a81a205a6d040e429d6e80c""}",873,"2020-09-26T03:51:13.000Z","{""USD"":{""price"":0.00413581039122,""volume_24h"":60074.5866594453,""percent_change_1h"":-1.95168,""percent_change_24h"":5.38091,""percent_change_7d"":-11.0456,""market_cap"":2338414.502308065,""last_updated"":""2020-09-26T03:51:13.000Z""}}"
2081,"Ambrosus","AMB","amber",14,"2017-10-23T00:00:00.000Z","[""logistics"",""ai-big-data"",""enterprise-solutions""]",,122334060.09,415920181,,874,"2020-09-26T03:51:08.000Z","{""USD"":{""price"":0.0190313366898,""volume_24h"":273596.027029339,""percent_change_1h"":0.501418,""percent_change_24h"":4.4027,""percent_change_7d"":-10.7561,""market_cap"":2328180.686203015,""last_updated"":""2020-09-26T03:51:08.000Z""}}"
2060,"Change","CAG","change",2,"2017-10-17T00:00:00.000Z","[""asset-management"",""payments"",""wallet""]",,19673647.3262572,79184115.8156427,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x7d4b8cce0591c9044a22ee543533b72e976e36c3""}",875,"2020-09-26T03:51:08.000Z","{""USD"":{""price"":0.118280835369,""volume_24h"":1442.52610512805,""percent_change_1h"":-0.134034,""percent_change_24h"":0.275004,""percent_change_7d"":-12.5609,""market_cap"":2327015.440504795,""last_updated"":""2020-09-26T03:51:08.000Z""}}"
2245,"Presearch","PRE","presearch",6,"2017-12-05T00:00:00.000Z","[""platform"",""crowdsourcing"",""search-engine""]",500000000,172742424,500000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x88a3e4f35d64aad41a6d4030ac9afe4356cb84fa""}",876,"2020-09-26T03:51:09.000Z","{""USD"":{""price"":0.0134433706845,""volume_24h"":78115.3594243377,""percent_change_1h"":0.168282,""percent_change_24h"":0.501188,""percent_change_7d"":-14.1389,""market_cap"":2322240.438771069,""last_updated"":""2020-09-26T03:51:09.000Z""}}"
3766,"Fatcoin","FAT","fatcoin",3,"2019-04-10T00:00:00.000Z","[""marketplace"",""payments""]",,122655308.35,200000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0x2ec95b8eda549b79a1248335a39d299d00ed314c""}",877,"2020-09-26T03:51:18.000Z","{""USD"":{""price"":0.0189276914157,""volume_24h"":544808.558105932,""percent_change_1h"":-0.121405,""percent_change_24h"":1.4891,""percent_change_7d"":-7.94422,""market_cap"":2321581.826946331,""last_updated"":""2020-09-26T03:51:18.000Z""}}"
2022,"Internxt","INXT","internxt",10,"2017-10-07T00:00:00.000Z","[""distributed-computing"",""filesharing""]",629610,629609.543,629609.543,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0xa8006c4ca56f24d6836727d106349320db7fef82""}",878,"2020-09-26T03:51:08.000Z","{""USD"":{""price"":3.67909387486,""volume_24h"":171860.332090734,""percent_change_1h"":0.223998,""percent_change_24h"":-0.224118,""percent_change_7d"":-17.2511,""market_cap"":2316392.6132047037,""last_updated"":""2020-09-26T03:51:08.000Z""}}"
2699,"Sharder","SS","sharder",5,"2018-05-03T00:00:00.000Z","[""distributed-computing"",""filesharing""]",500000000,283282765.187,350000000,"{""id"":1027,""name"":""Ethereum"",""symbol"":""ETH"",""slug"":""ethereum"",""token_address"":""0xbbff862d906e348e9946bfb2132ecb157da3d4b4""}",879,"2020-09-26T03:51:13.000Z","{""USD"":{""price"":0.00815300191944,""volume_24h"":73601.5475782391,""percent_change_1h"":-0.278241,""percent_change_24h"":5.50314,""percent_change_7d"":-18.8457,""market_cap"":2309604.9283138816,""last_updated"":""2020-09-26T03:51:13.000Z""}}"
